Gênero/Especie,Nome_popular,Família_Botânica,Tipo,Hábitat,Região
"Erythrina verna","Mulungu, canivete, suinã","Fabaceae","Árvore","Mata ciliar, mata seca, cerradão, cerrado (lato sensu)","TO, AC, MA, BA, MT, GO, DF, MG, ES, SP, RJ"
"Galactia peduncularis","","Fabaceae","Erva","Cerrado (lato sensu)","GO, DF, MG"
"Harpalyce brasiliana","","Fabaceae","Arvoreta , arbusto","Cerrado (stricto sensu)","PA, TO, MA, PI, CE, PB, BA, MT, GO, MG"
"Hymenaea courbaril","Jatobá, jatobá-da-mata","Fabaceae","Árvore","Mata de galeria","PA, AM, MA, PI, CE, PB, PE, BA, MT, GO, DF, MS, MG, ES, SP, RJ, PR"
"Hymenaea stigonocarpa","jatobá-do-cerrado","Fabaceae","Árvore","Cerradão, cerrado (stricto sensu)","PA, MA, CE, BA, MT, GO, DF, MG, SP"
"Inga laurina","Ingá-branco","Fabaceae","Árvore","Mata de galeria","PA, AM, AC, MA, CE, PB, PE, BA, GO, DF, MS, MG, ES, SP, RJ"
"Lupinus velutinus","","Fabaceae","Subarbusto","Mata de galeria, Cerrado (lato sensu), campo sujo, campo limpo, campo rupestre (lato sensu)","BA, GO, DF, MG, RJ"
"Macroptilium atropurpureum","","Fabaceae","Trepadeira","Cerrado (lato sensu)","PA, BA, MT, GO, DF, MS,MG, SP, RJ, PR"
"Macroptilium erythroloma","","Fabaceae","Trepadeira","Cerrado (lato sensu)","BA, MT, GO, DF, MS, MG, SP, RJ, PR, SC, RS"
"Mimosa caesalpiniifolia","Sabiá, sansão-do-campo, unha-de-gato","Fabaceae","Árvore","Cerrado (lato sensu)","MA, PE, PI"
"Mimosa claussenii","Mimosa","Fabaceae","Arbusto","Cerrado (stricto sensu), campo sujo","GO, DF, MG"
"Mimosa hebecarpa","Angiquinho","Fabaceae","Subarbusto","Cerrado (stricto sensu), mata seca (de encosta)","MT, GO, MS"
"Mimosa nuda","Dorme-dorme","Fabaceae","Subarbusto","Cerrado (lato sensu)","MT, GO, DF, MS, MG, SP, PR"
"Mimosa regina","","Fabaceae","Árvore","Cerrado (lato sensu), campo rupestre (lato sensu)","GO"
"Mimosa sensitiva","","Fabaceae","Arbusto","Cerrado (lato sensu), campo rupestre (lato sensu), área antrópica","PA, AM, MA, PI, CE, PE, BA, MS, MG"
"Parkia platycephala","","Fabaceae","Árvore","Mata seca semidecídua, cerradão, cerrado (stricto sensu), savanas amazônicas","PA, TO, MA, PI, CE, BA, GO,"
"Peltophorum dubium","","Fabaceae","Árvore","Mata seca semidecídua, área antrópica, transição com mata atlântica, cultivada","PB, PE, BA, SE, DF, MS, MG, ES, SP, RJ, PR, SC"
"Piptadenia gonoacantha","Pau-jacaré","Fabaceae","Árvore","Mata de galera, mata seca decídua","RN, PB, PE, BA, AL, SE, MS, MG, ES, SP, RJ, PR, SC, RS"
"Pterodon pubescens","Sucupira-branca","Fabaceae","Árvore","Mata de galeria, cerrado (stricto sensu), carrasco","TO, MA, PI, MT, GO, DF, MS, MG"
"Tachigali aurea","Carvoeiro, tatarena","Fabaceae","Árvore","Mata de galeria, cerrado (lato sensu)","TO, BA, MT, GO, DF, MS, MG, SP"
"Senna macranthera","Fedegoso, Pau-de-besouro","Fabaceae","Árvore","Mata de galeria, cerrado (lato sensu), caatinga","TO, PI, CE, RN, PB, PE, BA, AL, MT, GO, DF, MG, ES, SP, RJ, PR, RS"
"Senna pendula","","Fabaceae","Arbusto","Borda de mata de galeria, cerradão, cerrado (lato sensu), vereda","PA, BA, MT, GO, DF, MS, MG, SP, RJ, PR, SC"
"Senna rugosa","","Fabaceae","Arbusto","Mata de galeria, cerrado (lato sensu), vereda, campo sujo, campo limpo, carrasco","PA, TO, RO, MA, PI, CE, PE, BA, MT, GO, DF, MS, MG, SP, PR"
"Stryphnodendron adstringens","Barbatimão","Fabaceae","Árvore","Cerradão, cerrado (stricto sensu)","TO, BA, MT, GO, DF, MS, MG, SP, PR"
"Stylosanthes scabra","Alfafa-do-nordeste","Fabaceae","Subarbusto","Cerrado (lato sensu), campo rupestre (lato sensu)","RR, PA, MA, PI, CE, RN, PB, PE, BA, AL, MT, GO, DF, MS, MG, ES, SP, RJ"
"Stylosanthes viscosa","Meladinha","Fabaceae","Erva","Cerrado (stricto sensu), campo rupestre (lato sensu)","RR, AM, PA, AM, AC, RO, MA, CE, RN, PB, PE, BA, AL, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC"
"Calolisianthus speciosus","","Gentianaceae","Erva","Cerrado (lato sensu), campo sujo, campo limpo, campo rupestre (lato sensu)","TO, BA, GO, DF, MG, SP"
"Calolisianthus pedunculatus","","Gentianaceae","Erva ","Campo úmido, campo rupestre (lato sensu)","BA, GO, MG, SP, PR, SC"
"Paliavana tenuiflora","","Gentianaceae","Arbusto","Mata de galeria, campo rupestre (lato sensu)","PB, PE, BA, MG , ES"
"Deianira erubescens","","Gentianaceae","Erva","Borda de mata de galeria, cerrado (stricto sensu), campo sujo","GO, MG, SP"
"Deianira nervosa","","Gentianaceae","Erva","Borda de mata de galeria, cerrado (stricto sensu), campo sujo, campo limpo","MA, BA, GO, DF, MS, MG, SP, PR"
"Deianira pallescens","Boca-se-sapo","Gentianaceae","Subarbusto","Cerrado (stricto sensu), campo sujo, campo limpo","MT, GO, MG, SP"
"Chelonanthus viridiflorus","Genciana-da-terra","Gentianaceae","Subarbusto","Borda de mata de galeria, cerrado (ralo, rupestre), vereda, campo sujo, campo limpo, brejo, campo rupestre (lato sensu), savanas amazônicas","RR"
"Schultesia pachyphylla","","Gentianaceae","Erva","Campo úmido, campo rupestre (lato sensu)","BA"
"Voyria aphylla","","Gentianaceae","Erva","Mata, transição com mata atlântica e com Amazônia","RR, AM, PA, AP, PE, BA, MT, MG, SP, RJ, PR, SC"
"Humiria balsamifera","Umiri-bálsamo","Humiriaceae","Árvore","Mata Ciliar, Mata de Galeria, Cerrado (lato sensu), Savanas amazônicas","RR, AP, PA, AM, TO,MA, PE, BA, MT, GO,MG, RJ"
"Vismia pentagyna","","Hypericaceae","Árvore","Cerrado, Capoeira","BA, GO"
"Cipura xanthomelas","","Iridaceae","Erva","Vereda, Campo Sujo, Campo Limpo, Campo Úmido, Savanas Amazônicas","MA, BA, MT, GO, DF, MS, MG"
"Aegiphila verticillata","Milho-de-grilo","Lamiaceae","Arvoreta ou arbusto","Mata ciliar, mata de galeria, cerrado (lato sensu)","AM, PA, AM, TO, RO, MA, CE,
PB, PE, BA, SE, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC"
"Nectandra cissiflora","Canela fedida","Lauraceae","Árvore","Mata de Galeria, Mata Seca Semidecídua","PA, AC, PE, BA, MT, GO, DF, MS, MG, SP, PR, RS"
